PRODUCTION_CODE_NUMBER,SEASON,EPISODE,AIRDATE,SHOWCASE_SHOWDOWN_ROUND,SPIN,SPINOFF_SPIN?,WINNING_SPIN?,BONUS_SPIN?,CONTESTANT,OUTFIT,GENDER,SCORE_BEFORE_SPIN,TOTAL_SCORE_TO_BEAT,START_SPACE,END_SPACE,REVOLUTIONS,TOTAL_SPACES,SCORE_AFTER_SPIN
9505K,49,150,"July 2, 2021",1,1,,,,TRAVIS,FORMAL,M,0,N/A,100,30,1,32,30
9505K,49,150,"July 2, 2021",1,2,,,,TRAVIS,FORMAL,M,30,N/A,30,75,1,35,BUST
9505K,49,150,"July 2, 2021",1,3,,,,CHARLES,FORMAL,M,0,N/A,75,20,1,38,20
9505K,49,150,"July 2, 2021",1,4,,x,,CHARLES,FORMAL,M,20,N/A,20,75,2,42,95
9505K,49,150,"July 2, 2021",1,5,,,,DANIEL,FORMAL,M,0,95,75,70,1,29,70
9505K,49,150,"July 2, 2021",1,6,,,,DANIEL,FORMAL,M,70,95,70,75,1,31,BUST
9505K,49,150,"July 2, 2021",2,1,,,,DIANE,FORMAL,F,0,N/A,100,55,1,28,55
9505K,49,150,"July 2, 2021",2,2,,,,DIANE,FORMAL,F,55,N/A,55,15,1,33,70
9505K,49,150,"July 2, 2021",2,3,,,,ANTWAN,FORMAL,M,0,70,15,70,1,35,70
9505K,49,150,"July 2, 2021",2,4,,,,MARSHALL,FORMAL,M,0,70,70,35,2,47,35
9505K,49,150,"July 2, 2021",2,5,,,,MARSHALL,FORMAL,M,35,70,35,95,2,46,BUST
9505K,49,150,"July 2, 2021",2,6,x,x,,DIANE,FORMAL,F,N/A,N/A,95,20,1,36,20
9505K,49,150,"July 2, 2021",2,7,x,,,ANTWAN,FORMAL,M,N/A,20,20,10,1,29,10
9371K,49,149,"July 1, 2021",1,1,,,,MINA,CASUAL,M,0,N/A,100,65,2,53,65
9371K,49,149,"July 1, 2021",1,2,,x,,ROMAN,CASUAL,M,0,65,65,70,2,43,70
9371K,49,149,"July 1, 2021",1,3,,,,HEATHER,CASUAL,F,0,70,70,20,1,29,20
9371K,49,149,"July 1, 2021",1,4,,,,HEATHER,CASUAL,F,20,70,20,10,1,29,30
9371K,49,149,"July 1, 2021",2,1,,,,DENISE,FAN,F,0,N/A,100,75,1,27,75
